timestamp,equipment_id,metric,value,unit
2026-02-03T19:31:12Z,P-102,temperature,69.0,C
2026-02-05T16:09:36Z,P-102,vibration,2.35,mm/s
2026-02-05T16:09:36Z,P-102,temperature,69.1,C
2026-02-07T12:48:00Z,P-102,vibration,2.36,mm/s
2026-02-07T12:48:00Z,P-102,temperature,69.1,C
2026-02-09T09:26:24Z,P-102,vibration,2.38,mm/s
2026-02-09T09:26:24Z,P-102,temperature,69.2,C
2026-02-11T06:04:48Z,P-102,vibration,2.39,mm/s
2026-02-11T06:04:48Z,P-102,temperature,69.2,C
2026-02-13T02:43:12Z,P-102,vibration,2.4,mm/s
2026-02-13T02:43:12Z,P-102,temperature,69.3,C
2026-02-14T23:21:36Z,P-102,vibration,2.42,mm/s
2026-02-14T23:21:36Z,P-102,temperature,69.4,C
2026-02-16T20:00:00Z,P-102,vibration,2.43,mm/s
2026-02-16T20:00:00Z,P-102,temperature,69.4,C
2026-02-18T16:38:24Z,P-102,vibration,2.44,mm/s
2026-02-18T16:38:24Z,P-102,temperature,69.5,C
2026-02-20T13:16:48Z,P-102,vibration,2.46,mm/s
2026-02-20T13:16:48Z,P-102,temperature,69.5,C
2026-02-22T09:55:12Z,P-102,vibration,2.47,mm/s
2026-02-22T09:55:12Z,P-102,temperature,69.6,C
2026-02-24T06:33:36Z,P-102,vibration,2.48,mm/s
2026-02-24T06:33:36Z,P-102,temperature,69.6,C
2026-02-26T03:12:00Z,P-102,vibration,2.5,mm/s
2026-02-26T03:12:00Z,P-102,temperature,69.7,C
2026-02-27T23:50:24Z,P-102,vibration,2.51,mm/s
2026-02-27T23:50:24Z,P-102,temperature,69.8,C
2026-03-01T20:28:48Z,P-102,vibration,2.52,mm/s
2026-03-01T20:28:48Z,P-102,temperature,69.8,C
2026-03-03T17:07:12Z,P-102,vibration,2.54,mm/s
2026-03-03T17:07:12Z,P-102,temperature,69.9,C
2026-03-05T13:45:36Z,P-102,vibration,2.55,mm/s
2026-03-05T13:45:36Z,P-102,temperature,69.9,C
2026-03-07T10:24:00Z,P-102,vibration,2.56,mm/s
2026-03-07T10:24:00Z,P-102,temperature,70.0,C
2026-03-09T07:02:24Z,P-102,vibration,2.58,mm/s
2026-03-09T07:02:24Z,P-102,temperature,70.0,C
2026-03-11T03:40:48Z,P-102,vibration,2.59,mm/s
2026-03-11T03:40:48Z,P-102,temperature,70.1,C
2026-03-13T00:19:12Z,P-102,vibration,2.6,mm/s
2026-03-13T00:19:12Z,P-102,temperature,70.2,C
2026-03-14T20:57:36Z,P-102,vibration,2.62,mm/s
2026-03-14T20:57:36Z,P-102,temperature,70.2,C
2026-03-16T17:36:00Z,P-102,vibration,2.63,mm/s
2026-03-16T17:36:00Z,P-102,temperature,70.3,C
2026-03-18T14:14:24Z,P-102,vibration,2.64,mm/s
2026-03-18T14:14:24Z,P-102,temperature,70.3,C
2026-03-20T10:52:48Z,P-102,vibration,2.65,mm/s
2026-03-20T10:52:48Z,P-102,temperature,70.4,C
2026-03-22T07:31:12Z,P-102,vibration,2.67,mm/s
2026-03-22T07:31:12Z,P-102,temperature,70.4,C
2026-03-24T04:09:36Z,P-102,vibration,2.68,mm/s
2026-03-24T04:09:36Z,P-102,temperature,70.5,C
2026-03-26T00:48:00Z,P-102,vibration,2.69,mm/s
2026-03-26T00:48:00Z,P-102,temperature,70.5,C
2026-03-27T21:26:24Z,P-102,vibration,2.71,mm/s
2026-03-27T21:26:24Z,P-102,temperature,70.6,C
2026-03-29T18:04:48Z,P-102,vibration,2.72,mm/s
2026-03-29T18:04:48Z,P-102,temperature,70.7,C
2026-03-31T14:43:12Z,P-102,vibration,2.73,mm/s
2026-03-31T14:43:12Z,P-102,temperature,70.7,C
2026-04-02T11:21:36Z,P-102,vibration,2.75,mm/s
2026-04-02T11:21:36Z,P-102,temperature,70.8,C
2026-04-04T08:00:00Z,P-102,vibration,2.76,mm/s
2026-04-04T08:00:00Z,P-102,temperature,70.8,C
2026-04-06T04:38:24Z,P-102,vibration,2.77,mm/s
2026-04-06T04:38:24Z,P-102,temperature,70.9,C
2026-04-08T01:16:48Z,P-102,vibration,2.79,mm/s
2026-04-08T01:16:48Z,P-102,temperature,70.9,C
2026-04-09T21:55:12Z,P-102,vibration,2.8,mm/s
2026-04-09T21:55:12Z,P-102,temperature,71.0,C
2026-04-11T18:33:36Z,P-102,vibration,2.82,mm/s
2026-04-11T18:33:36Z,P-102,temperature,71.1,C
2026-04-13T15:12:00Z,P-102,vibration,2.83,mm/s
2026-04-13T15:12:00Z,P-102,temperature,71.2,C
2026-04-15T11:50:24Z,P-102,vibration,2.85,mm/s
2026-04-15T11:50:24Z,P-102,temperature,71.3,C
2026-04-17T08:28:48Z,P-102,vibration,2.87,mm/s
2026-04-17T08:28:48Z,P-102,temperature,71.5,C
2026-04-19T05:07:12Z,P-102,vibration,2.88,mm/s
2026-04-19T05:07:12Z,P-102,temperature,71.6,C
2026-04-21T01:45:36Z,P-102,vibration,2.9,mm/s
2026-04-21T01:45:36Z,P-102,temperature,71.7,C
2026-04-22T22:24:00Z,P-102,vibration,2.92,mm/s
2026-04-22T22:24:00Z,P-102,temperature,71.8,C
2026-04-24T19:02:24Z,P-102,vibration,2.94,mm/s
2026-04-24T19:02:24Z,P-102,temperature,71.9,C
2026-04-26T15:40:48Z,P-102,vibration,2.95,mm/s
2026-04-26T15:40:48Z,P-102,temperature,72.0,C
2026-04-28T12:19:12Z,P-102,vibration,2.97,mm/s
2026-04-28T12:19:12Z,P-102,temperature,72.1,C
2026-04-30T08:57:36Z,P-102,vibration,2.99,mm/s
2026-04-30T08:57:36Z,P-102,temperature,72.2,C
2026-05-02T05:36:00Z,P-102,vibration,3.0,mm/s
2026-05-02T05:36:00Z,P-102,temperature,72.4,C
2026-05-04T02:14:24Z,P-102,vibration,3.02,mm/s
2026-05-04T02:14:24Z,P-102,temperature,72.5,C
2026-05-05T22:52:48Z,P-102,vibration,3.04,mm/s
2026-05-05T22:52:48Z,P-102,temperature,72.6,C
2026-05-07T19:31:12Z,P-102,vibration,3.05,mm/s
2026-05-07T19:31:12Z,P-102,temperature,72.7,C
2026-05-09T16:09:36Z,P-102,vibration,3.07,mm/s
2026-05-09T16:09:36Z,P-102,temperature,72.8,C
2026-05-11T12:48:00Z,P-102,vibration,3.09,mm/s
2026-05-11T12:48:00Z,P-102,temperature,72.9,C
2026-05-13T09:26:24Z,P-102,vibration,3.11,mm/s
2026-05-13T09:26:24Z,P-102,temperature,73.0,C
2026-05-15T06:04:48Z,P-102,vibration,3.12,mm/s
2026-05-15T06:04:48Z,P-102,temperature,73.2,C
2026-05-17T02:43:12Z,P-102,vibration,3.14,mm/s
2026-05-17T02:43:12Z,P-102,temperature,73.3,C
2026-05-18T23:21:36Z,P-102,vibration,3.16,mm/s
2026-05-18T23:21:36Z,P-102,temperature,73.4,C
2026-05-20T20:00:00Z,P-102,vibration,3.17,mm/s
2026-05-20T20:00:00Z,P-102,temperature,73.5,C
2026-05-22T16:38:24Z,P-102,vibration,3.19,mm/s
2026-05-22T16:38:24Z,P-102,temperature,73.6,C
2026-05-24T13:16:48Z,P-102,vibration,3.21,mm/s
2026-05-24T13:16:48Z,P-102,temperature,73.7,C
2026-05-26T09:55:12Z,P-102,vibration,3.22,mm/s
2026-05-26T09:55:12Z,P-102,temperature,73.8,C
2026-05-28T06:33:36Z,P-102,vibration,3.24,mm/s
2026-05-28T06:33:36Z,P-102,temperature,73.9,C
2026-05-30T03:12:00Z,P-102,vibration,3.26,mm/s
2026-05-30T03:12:00Z,P-102,temperature,74.1,C
2026-05-31T23:50:24Z,P-102,vibration,3.28,mm/s
2026-05-31T23:50:24Z,P-102,temperature,74.2,C
2026-06-02T20:28:48Z,P-102,vibration,3.29,mm/s
2026-06-02T20:28:48Z,P-102,temperature,74.3,C
2026-06-04T17:07:12Z,P-102,vibration,3.31,mm/s
2026-06-04T17:07:12Z,P-102,temperature,74.4,C
2026-06-06T13:45:36Z,P-102,vibration,3.33,mm/s
2026-06-06T13:45:36Z,P-102,temperature,74.5,C
2026-06-08T10:24:00Z,P-102,vibration,3.34,mm/s
2026-06-08T10:24:00Z,P-102,temperature,74.6,C
2026-06-10T07:02:24Z,P-102,vibration,3.36,mm/s
2026-06-10T07:02:24Z,P-102,temperature,74.7,C
2026-06-12T03:40:48Z,P-102,vibration,3.38,mm/s
2026-06-12T03:40:48Z,P-102,temperature,74.8,C
2026-06-14T00:19:12Z,P-102,vibration,3.39,mm/s
2026-06-14T00:19:12Z,P-102,temperature,75.0,C
2026-06-15T20:57:36Z,P-102,vibration,3.41,mm/s
2026-06-15T20:57:36Z,P-102,temperature,75.1,C
2026-06-17T17:36:00Z,P-102,vibration,3.43,mm/s
2026-06-17T17:36:00Z,P-102,temperature,75.2,C
2026-06-19T14:14:24Z,P-102,vibration,3.45,mm/s
2026-06-19T14:14:24Z,P-102,temperature,75.3,C
2026-06-21T10:52:48Z,P-102,vibration,3.46,mm/s
2026-06-21T10:52:48Z,P-102,temperature,75.4,C
2026-06-23T07:31:12Z,P-102,vibration,3.48,mm/s
2026-06-23T07:31:12Z,P-102,temperature,75.5,C
2026-06-25T04:09:36Z,P-102,vibration,3.5,mm/s
2026-06-25T04:09:36Z,P-102,temperature,75.6,C
2026-06-27T00:48:00Z,P-102,vibration,3.51,mm/s
2026-06-27T00:48:00Z,P-102,temperature,75.8,C
2026-06-28T21:26:24Z,P-102,vibration,3.53,mm/s
2026-06-28T21:26:24Z,P-102,temperature,75.9,C
2026-06-30T18:04:48Z,P-102,vibration,3.55,mm/s
2026-06-30T18:04:48Z,P-102,temperature,76.0,C
2026-07-02T14:43:12Z,P-102,vibration,3.56,mm/s
2026-07-02T14:43:12Z,P-102,temperature,76.1,C
2026-07-04T11:21:36Z,P-102,vibration,3.58,mm/s
2026-07-04T11:21:36Z,P-102,temperature,76.2,C
2026-07-06T08:00:00Z,P-102,vibration,3.6,mm/s
2026-07-06T08:00:00Z,P-102,temperature,76.3,C
2026-07-08T04:38:24Z,P-102,vibration,3.62,mm/s
2026-07-08T04:38:24Z,P-102,temperature,76.4,C
2026-07-10T01:16:48Z,P-102,vibration,3.63,mm/s
2026-07-10T01:16:48Z,P-102,temperature,76.5,C
2026-07-11T21:55:12Z,P-102,vibration,3.65,mm/s
2026-07-11T21:55:12Z,P-102,temperature,76.7,C
2026-07-13T18:33:36Z,P-102,vibration,3.67,mm/s
2026-07-13T18:33:36Z,P-102,temperature,76.8,C
2026-07-15T15:12:00Z,P-102,vibration,3.68,mm/s
2026-07-15T15:12:00Z,P-102,temperature,76.9,C
2026-07-17T11:50:24Z,P-102,vibration,3.7,mm/s
2026-07-17T11:50:24Z,P-102,temperature,77.0,C
